Chest ,ShoulderWidth,Waist ,Hips ,TotalHeight,colour,Gender,Age,Label
32,19,27,29,67,1,2,18,2
8,9,18,20,31,2,1,2,3
9,9,19,21,35,0,2,2,1
11,8,12,11,32,1,1,3,2
10,8,16,10,35,2,2,4,3
10,10,20,20,38,0,2,4,1
10,10,20,20,38,1,1,4,2
11,11,22,22,39,2,2,4,3
10,11,20,21,37,0,1,4,1
11,11,22,22,39,1,1,4,2
9,10,23,24,42,2,1,5,3
9,9,20,20,37,0,1,6,1
6,10,20,19,38,1,2,6,3
10,9,21,20,39,2,2,6,1
9,18,12,9,42,0,1,8,2
11,13,22,11,50,1,2,11,3
9,11,22,10,50,2,1,12,1
15,17,38,42,59,0,2,15,2
17,19,42,46,66,1,1,18,3
16,14,20,38,64,2,1,14,1
16,19,42,46,64,0,1,18,2
15,15,38,40,60,1,2,18,3
20,18,32,32,61,2,2,16,1
23,19,37,40,59,0,2,18,2
16,9,18,21,35,1,2,1,3
17,18,20,38,64,2,1,14,1
10,17,38,42,59,0,2,15,3
9,11,24,26,49,1,1,8,1
8,10,23,24,42,2,1,5,2
16,9,18,20,31,0,1,1,3
12,14,25,12,52,1,1,10,1
9,11,22,9,45,2,1,7,2
10,12,22,11,47,0,1,7,3
9,9,20,10,37,1,1,6,1
9,12,23,9,41,2,1,7,2
9,11,22,10,50,0,1,12,3
9,12,22,12,44,1,1,10,1
8,11,22,11,46,2,1,7,2
9,12,23,10,45,0,1,6,3
11,13,21,10,45,1,1,7,1
10,11,24,11,50,2,1,9,3
9,9,20,10,37,0,1,6,1
9,10,20,10,36,1,1,6,2
6,10,21,10,37,2,1,6,3
10,9,20,9,38,0,2,6,1
10,9,21,10,39,1,2,6,2
9,4,20,11,37,2,2,6,3
10,5,20,10,36,0,2,6,1
12,14,22,11,37,1,2,6,2
13,13,25,12,50,2,2,9,3
9,9,22,12,51,0,2,7,1
9,9,20,10,37,1,2,6,2
13,11,20,9,37,2,2,9,3
12,14,24,13,50,0,2,10,1
11,14,21,11,51,1,2,12,3
12,13,22,11,50,2,2,11,1
11,13,20,10,55,0,2,10,2
11,14,22,10,36,1,2,6,3
11,19,13,10,43,2,1,10,1
10,19,12,12,43,0,1,11,2
13,20,12,11,47,1,1,13,3
13,19,12,11,46,2,1,12,1
15,20,13,13,48,0,1,14,2
14,19,12,11,49,1,1,14,3
13,19,11,10,46,2,1,15,1
11,19,13,11,43,0,1,10,2
12,18,12,12,43,1,2,10,3
9,18,12,9,42,2,1,8,1
10,19,13,10,43,0,1,9,3
10,9,21,22,39,1,2,6,1
11,14,25,27,28,2,1,10,2
11,13,22,24,43,0,1,8,3
10,13,25,24,41,1,2,7,1
10,13,23,24,44,2,2,8,2
9,13,23,25,44,0,2,8,3
11,13,24,25,47,1,1,9,1
11,13,26,25,46,2,1,8,2
9,11,12,24,44,0,1,8,3
10,14,26,28,48,1,2,10,1
9,12,23,23,44,2,2,8,2
10,13,27,26,47,0,2,10,3
10,11,23,26,48,1,2,8,1
14,14,27,28,54,2,2,13,3
11,13,23,23,52,0,2,11,1
14,14,27,28,54,1,2,13,2
12,13,25,26,51,2,2,11,3
10,10,20,20,38,0,1,4,1
12,14,24,25,45,1,1,11,2
12,15,26,28,44,2,2,12,3
10,10,20,20,38,0,2,4,1
11,13,23,23,52,1,1,11,2
12,14,26,11,48,2,2,8,3
14,14,28,23,54,0,1,15,1
10,9,21,22,39,1,1,8,2
10,13,27,26,47,2,2,10,3
11,14,23,11,46,0,2,10,1
10,13,25,24,44,1,2,7,3
13,12,25,27,43,2,1,11,1
13,10,10,12,45,0,2,9,2
11,9,11,13,41,1,1,6,3
12,10,9,12,43,2,1,6,1
11,10,10,14,43,0,1,7,2
13,10,11,11,43,1,2,7,3
12,10,9,11,45,2,1,9,1
13,10,10,14,42,0,2,8,2
17,12,11,14,51,1,1,10,3
12,10,12,13,46,2,1,9,1
12,11,10,14,48,0,2,9,2
12,12,12,13,49,1,1,12,3
13,10,12,13,44,2,1,9,1
13,11,12,11,44,0,1,7,3
12,10,10,11,43,1,1,8,1
12,9,10,12,39,2,1,5,2
11,9,11,10,39,0,1,5,3
10,8,6,9,35,1,2,12,1
11,9,11,14,44,2,2,8,2
17,12,11,17,42,0,1,10,3
11,8,11,15,45,1,1,5,1
15,11,12,13,48,2,2,10,2
14,10,12,25,47,0,2,12,3
16,11,14,14,52,1,2,13,1
14,10,11,14,46,2,2,12,2
12,11,12,11,46,0,2,9,3
12,10,10,10,38,1,2,6,1
11,8,7,13,32,2,1,3,3
14,12,13,15,51,0,2,13,1
15,14,12,15,51,1,2,13,2
13,14,26,11,48,2,2,18,3
13,14,23,13,33,0,1,11,1
11,13,22,11,46,1,1,9,2
13,12,24,24,49,2,2,10,3
11,14,23,11,46,0,2,10,1
14,14,27,28,54,1,2,13,2
13,12,24,24,49,2,1,10,3
10,13,25,24,44,0,2,7,1
12,13,25,26,51,1,2,11,2
13,14,26,11,48,2,2,18,3
11,13,22,11,46,0,2,9,1
10,10,20,20,38,1,2,4,3
11,14,23,27,48,2,2,10,1
22,13,23,27,38,0,1,11,2
11,14,25,11,46,1,2,10,3
12,13,25,26,51,2,2,11,1
10,13,18,24,44,0,2,7,2
10,9,23,21,39,1,1,6,3
11,14,18,11,46,2,1,10,1
10,19,24,20,38,0,1,8,2
13,12,27,22,49,1,2,10,3
14,14,25,28,54,2,2,13,1
10,11,21,25,26,0,1,8,2
11,12,22,24,47,1,1,8,3
11,13,12,11,46,2,2,9,1
11,11,27,24,44,0,1,8,3
19,14,25,28,54,1,2,13,1
14,12,23,27,53,2,1,11,2
13,13,23,27,52,0,2,11,3
11,14,23,23,49,1,2,8,1
12,14,24,24,38,2,2,11,2
13,13,22,24,46,0,2,10,3
12,19,21,23,49,1,2,8,1
15,11,23,26,48,2,2,8,2
10,10,20,20,38,0,2,4,3
11,13,24,25,47,1,2,9,1
10,10,20,20,38,2,1,4,2
13,12,25,27,53,0,1,11,3
10,13,25,24,44,1,1,2,1
10,13,27,26,47,2,2,10,3
12,13,20,25,38,0,1,11,1
15,19,20,26,49,1,1,13,2
11,14,23,22,46,2,1,9,3
15,11,23,27,47,0,2,10,1
11,10,21,23,54,1,2,13,2
12,15,22,24,56,2,2,12,3
11,13,22,11,46,0,1,9,1
11,10,25,20,38,1,1,11,2
11,13,23,12,38,2,2,9,3
10,12,24,11,47,0,1,8,1
10,9,18,21,29,1,2,6,2
12,13,16,20,29,2,1,11,3
11,13,24,11,44,0,,9,1
12,15,26,28,47,1,2,12,3
13,13,22,15,54,2,2,11,1
10,9,21,22,44,0,1,8,2
10,13,25,24,44,1,2,7,3
9,11,12,24,44,2,1,8,1
19,6,23,23,37,0,1,6,2
9,5,21,21,41,1,1,5,3
11,11,22,22,39,2,2,4,1
10,12,21,23,30,0,2,5,2
10,11,21,20,32,1,2,6,3
11,11,22,21,32,2,1,6,1
11,11,22,23,30,0,2,7,2
11,13,22,24,44,1,2,6,3
10,11,20,21,37,2,1,4,1
14,14,29,31,55,0,2,12,3
11,11,22,22,44,1,2,5,1
12,14,20,31,57,2,2,13,2
13,14,24,26,57,0,2,14,3
11,13,24,25,52,1,1,11,1
11,12,20,28,53,2,2,12,2
11,12,24,25,48,0,2,9,3
10,10,22,24,32,1,2,5,1
11,14,25,28,58,2,2,12,2
11,12,24,26,46,0,1,7,3
11,12,24,24,45,1,1,6,1
12,15,27,30,59,2,2,13,2
11,12,24,26,49,0,2,11,3
11,12,25,27,51,1,2,11,1
11,11,22,22,39,2,1,4,3
14,13,22,11,39,0,2,11,1
11,12,21,26,53,1,2,13,2
23,13,11,16,52,2,2,15,3
12,15,27,30,49,0,2,13,1
11,12,25,29,44,1,2,11,2
12,10,20,13,45,2,2,9,3
13,11,21,14,44,0,2,8,1
13,12,13,14,46,1,2,9,2
13,11,12,14,48,2,2,9,3
12,10,12,12,45,0,2,8,1
12,10,11,11,38,1,1,4,2
11,9,10,10,38,2,1,4,3
13,9,10,11,37,0,1,4,1
10,9,10,11,36,1,2,3,3
10,10,9,11,38,2,2,3,1
11,10,9,11,38,0,2,3,2
12,10,10,11,39,1,2,3,3
11,8,9,10,36,2,1,3,1
10,9,10,10,38,0,2,4,2
12,9,9,11,37,1,2,4,3
14,11,13,15,54,2,2,13,1
15,14,12,16,53,0,2,14,2
15,13,12,14,54,1,2,16,3
15,13,13,13,54,2,2,15,1
16,13,14,17,55,0,1,17,2
14,11,10,11,44,1,2,10,3
14,13,13,14,53,2,2,15,1
14,13,13,14,53,0,2,17,3
15,13,13,16,52,1,2,16,1
18,13,15,17,58,2,2,18,2
21,13,16,18,58,0,2,19,3
12,11,9,13,44,1,1,6,1
13,11,9,12,44,2,1,6,2
14,11,10,13,44,0,1,7,3
10,10,20,9,39,1,1,5,1
12,14,23,13,48,2,1,7,2
10,11,22,12,43,0,1,6,3
11,10,11,10,40,1,2,6,1
12,11,11,12,43,2,1,6,2
11,13,13,13,44,0,2,8,3
10,11,11,10,41,1,2,6,1
10,11,12,11,44,2,2,6,3
12,14,13,12,48,0,2,7,1
12,13,13,12,48,1,2,6,2
13,12,13,12,48,2,2,7,3
12,11,11,11,40,0,2,6,1
13,10,12,12,45,1,1,7,2
11,11,12,11,38,2,2,6,3
12,11,13,13,43,0,2,7,1
12,12,12,12,45,1,2,7,2
13,10,12,13,45,2,1,7,3
11,11,13,11,39,0,1,6,1
12,12,12,11,39,1,2,5,2
12,11,13,12,40,2,2,5,3
11,10,11,11,39,0,1,5,1
11,12,12,11,41,1,1,6,3
13,14,13,12,47,2,1,7,1
12,11,13,12,50,0,1,11,2
10,12,11,11,38,1,1,5,3
13,12,13,12,38,2,1,4,1
10,11,11,10,41,0,1,5,2
11,11,11,11,40,1,2,6,3
12,11,13,11,44,2,2,7,1
10,13,11,13,49,0,2,8,2
13,12,12,15,51,1,2,10,3
12,11,11,14,48,2,2,10,1
13,12,11,14,47,0,2,10,2
13,14,12,14,52,1,2,11,3
13,11,12,12,49,2,2,11,1
12,12,12,14,55,0,2,13,3
13,13,10,14,52,1,2,11,1
14,13,12,17,53,2,2,12,2
12,12,10,12,49,0,2,11,3
13,15,13,16,49,1,1,13,1
13,13,12,14,52,2,1,12,2
12,14,12,12,49,0,1,10,3
14,14,14,13,54,1,1,13,1
12,15,12,13,52,2,1,12,2
12,12,10,11,48,0,1,11,3
12,14,13,12,48,1,1,9,1
11,14,10,17,54,2,1,10,2
9,10,9,13,44,0,1,7,3
11,11,10,13,45,1,2,8,1
13,10,10,17,50,2,2,10,3
11,15,10,16,55,0,1,13,1
12,13,11,15,57,1,1,12,2
11,13,11,14,52,2,2,10,3
9,11,9,10,44,0,2,7,1
9,10,8,10,39,1,1,5,2
9,10,8,10,39,2,1,5,3
9,11,8,13,37,0,2,4,1
13,13,13,13,45,1,2,8,2
12,14,11,10,43,2,2,8,3
13,13,12,11,44,0,2,10,1
11,12,11,10,43,1,2,8,2
11,13,11,11,43,2,2,8,3
11,11,10,10,40,0,2,7,1
11,13,11,11,45,1,2,7,3
13,14,12,12,45,2,2,9,1
13,11,10,10,49,0,2,11,2
12,13,12,12,46,1,2,10,3
14,11,12,12,49,2,2,11,1
13,12,12,11,50,0,2,13,2
12,11,11,12,50,1,1,12,3
12,13,12,12,51,2,1,12,1
13,14,12,12,50,0,1,12,2
14,10,12,12,51,1,1,12,3
12,11,11,11,47,2,1,11,1
13,11,10,11,49,0,1,14,2
11,11,9,11,44,1,1,8,3
11,10,8,8,36,2,1,5,1
8,10,11,10,40,0,2,7,3
12,14,13,12,43,1,2,7,1
12,14,13,12,48,2,2,7,2
13,12,13,11,50,0,1,11,3
12,11,11,12,47,1,1,7,1
12,11,12,11,40,2,2,6,2
13,10,12,12,38,0,1,7,3
11,10,20,12,47,1,1,8,1
10,10,12,9,39,2,1,5,2
11,12,13,13,41,0,1,8,3
11,13,22,24,44,1,2,6,1
11,11,22,22,39,2,2,4,2
12,13,26,27,49,0,1,12,3
15,17,17,24,57,1,1,15,1
15,12,24,25,50,2,1,13,3
12,14,11,14,50,0,1,12,1
11,13,12,14,49,1,1,11,2
14,16,13,28,52,2,1,13,3
11,12,23,23,43,0,2,7,1
10,11,21,23,39,1,2,5,2
9,11,21,21,39,2,2,7,3
9,12,21,21,41,0,1,5,1
11,11,22,21,31,1,2,7,2
10,11,21,20,32,2,2,6,3
10,11,21,20,31,0,2,7,1
12,12,21,26,40,1,2,5,2
11,11,21,23,34,2,2,5,3
11,13,22,24,39,0,2,6,1
14,11,25,18,59,1,1,17,3
11,15,23,23,43,2,2,5,1
12,8,14,29,23,0,1,13,2
8,15,19,20,32,1,2,2,3
12,12,14,29,23,2,1,10,1
12,12,24,26,45,0,2,10,2
14,6,18,30,59,1,2,13,3
12,11,2,26,45,2,1,10,1
11,17,22,22,40,0,1,4,2
14,15,18,30,59,1,1,13,3
10,15,20,21,37,2,2,4,1
